_ 4040 8140
Ⅰ 41F1 FA4A
Ⅱ 41F2 FA4B
Ⅲ 41F3 FA4C
Ⅳ 41F4 FA4D
Ⅴ 41F5 FA4E
Ⅵ 41F6 FA4F
Ⅶ 41F7 FA50
Ⅷ 41F8 FA51
Ⅸ 41F9 FA52
Ⅹ 41FA FA53
￡ 424A 8192
． 424B 8144
＜ 424C 8183
（ 424D 8169
＋ 424E 817B
｜ 424F 8162
＆ 4250 8195
！ 425A 8149
￥ 425B 818F
＊ 425C 8196
） 425D 816A
； 425E 8147
￢ 425F FA54
− 4260 817C
／ 4261 815E
¦ 426A FA55
， 426B 8143
％ 426C 8193
＿ 426D 8151
＞ 426E 8184
？ 426F 8148
｀ 4279 814D
： 427A 8146
＃ 427B 8194
＠ 427C 8197
＇ 427D FA56
＝ 427E 8181
＂ 427F FA57
ａ 4281 8281
ｂ 4282 8282
ｃ 4283 8283
ｄ 4284 8284
ｅ 4285 8285
ｆ 4286 8286
ｇ 4287 8287
ｈ 4288 8288
ｉ 4289 8289
ｊ 4291 828A
ｋ 4292 828B
ｌ 4293 828C
ｍ 4294 828D
ｎ 4295 828E
ｏ 4296 828F
ｐ 4297 8290
ｑ 4298 8291
ｒ 4299 8292
￣ 42A1 8150
ｓ 42A2 8293
ｔ 42A3 8294
ｕ 42A4 8295
ｖ 42A5 8296
ｗ 42A6 8297
ｘ 42A7 8298
ｙ 42A8 8299
ｚ 42A9 829A
｛ 42C0 816F
Ａ 42C1 8260
Ｂ 42C2 8261
Ｃ 42C3 8262
Ｄ 42C4 8263
Ｅ 42C5 8264
Ｆ 42C6 8265
Ｇ 42C7 8266
Ｈ 42C8 8267
Ｉ 42C9 8268
｝ 42D0 8170
Ｊ 42D1 8269
Ｋ 42D2 826A
Ｌ 42D3 826B
Ｍ 42D4 826C
Ｎ 42D5 826D
Ｏ 42D6 826E
Ｐ 42D7 826F
Ｑ 42D8 8270
Ｒ 42D9 8271
＄ 42E0 8190
Ｓ 42E2 8272
Ｔ 42E3 8273
Ｕ 42E4 8274
Ｖ 42E5 8275
Ｗ 42E6 8276
Ｘ 42E7 8277
Ｙ 42E8 8278
Ｚ 42E9 8279
０ 42F0 824F
１ 42F1 8250
２ 42F2 8251
